Row Labels,Achillea borealis,Achillea millefolium,Agropyron cristatum,Allium textile,Androsace septentrionalis,Anemone cylindrica,Antennaria parvifolia,Antennaria sp,Artemisia campestris subsp. pacifica,Artemisia cana,Artemisia frigida,Artemisia ludoviciana,Astragalus agrestis,Astragalus cicer,Astragalus lotiflorus,Boechera holboellii,Boechera retrofracta,Boechera spec.,Bouteloua gracilis,Calamagrostis montanensis,Campanula rotundifolia,Carex douglasii,Carex duriuscula,Carex inops subsp. heliophila,Carex praegracilis,Cerastium arvense,Cerastium arvense subsp. strictum,Chenopodium leptophyllum,Cirsium undulatum,Comandra umbellata,Conyza canadensis,Crepis tectorum,Cryptantha fendleri,Dalea purpurea,Distichlis spicata,Elymus lanceolatus subsp. psammophilus,Equisetum hyemale,Erysimum inconspicuum,Escobaria vivipara,Euphorbia serpillifolia,Glycyrrhiza lepidota,Grindelia squarrosa,Hedeoma hispida,Hesperostipa comata,Heterotheca villosa,Juncus balticus,Koeleria macrantha,Lactuca sp.,Lepidium densiflorum,Liatris punctata,Lithospermum incisum,Lygodesmia juncea,Melilotus officinalis,Nassella viridula,Oenothera suffrutescens,Opuntia fragilia,Opuntia fragilis,Opuntia polyacantha,Pascopyrum smithii,Penstemon gracilis,Phlox hoodii,Plantago patagonica,Poa pratensis,Poa pratensis subsp. angustifolia,Poa secunda,Potentilla pensylvanica,Ratibida columnifera,Rosa woodsii,Selaginella densa,Silene drummondi,Sisymbrium altissimum,Sphaeralcea coccinea,Sporobolus cryptandrus,Sporobolus rigidus var. rigidus,Symphoricarpos occidentalis,Symphyotrichum ericoides,Symphyotrichum falcatum,Taraxacum erythrospermum,Taraxacum officinale,Tragopogon dubius,Unkforb,Vicia americana,Xanthisma spinulosum
SS01,,,,,,,,,,,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,1,,,,1,,,1,,1,,1,1,,,1,,,,,,1,,,,,,,,1,,,1,1,,,,,,,1,,,1
SS02,,1,,,,,,,,,1,1,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,,1,,,,,,1,,1,,,1,,,1,,,1,,,,,,,1,1,,1,1
SS03,,,,,,1,,,,,1,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,,,,,,1,,1,,,,,1,,,1,,,,,,,,,,1,,,,1
SS04,,,,,,,1,,,,1,,1,,,,,,1,,,,1,,1,,,,,,,1,,,,,,,,,,,,1,,,1,,,,1,,,1,,,,,1,,1,,,,,1,,,1,,,1,,,,,,,1,1,,1,1
SS05,1,,,,1,,1,1,,,1,,1,1,,,,,1,,,,1,,,1,,,1,,,1,,,,,,,1,,,1,,1,1,,1,,,1,1,1,1,,,,,,1,,1,,1,,1,1,1,,1,,,1,,,,1,,1,1,1,,,1
SS06,,,,,,,,,1,,1,1,,,,,,,1,1,1,,,1,,,,,,,,,,1,,,1,,1,,1,,,1,1,1,1,,1,1,1,,,,,,,,,,1,,,,1,,,1,1,1,,,,1,,,,,,,,1,
SS07,,,,,,,,,,,1,,,,,,,,1,,,,1,1,,,,,,,,,,1,,,1,,1,,1,,,1,1,,1,,,1,1,1,,,,1,,,,,,,,,1,,,1,1,,,,,1,,,,,,,,1,
SS08,,,,,1,,,,,,1,,,,,,1,1,1,,,1,1,1,,,,1,,,,,,,,,1,,1,,,,,1,1,,1,,1,1,1,,,,,,,,1,,1,,,,1,1,,,1,1,,,,1,,,,,,,,1,
SS09,,,,,,,,,,,1,,,,,,,,1,,,1,1,,,,,1,,,,,,1,,,1,,1,,,,,1,,,1,,1,1,1,,,,,,,,,1,,,,,,,,1,1,,,,,1,,,,,,1,,1,
SS10,,,,,,,,1,,,1,,,,,,1,,1,,,,1,1,,,,,,,,,,1,,,,,1,,,,,1,1,1,1,,,,1,,,,,1,,,1,,,,1,,,1,,1,1,,,,,1,,,,,,,,1,
SS11,,,,,,,,,1,,1,,,,,,,,1,,,,1,1,,,,1,,,,,,1,,,1,,1,,,,,1,1,,1,,,1,1,,,,,,,1,1,,,,,,,,,1,1,,,,,1,,,,,,1,,,
SS12,,,,,,,,,,,1,,,,,,,,1,,,,1,,,,,,,1,,1,,,1,1,,1,1,,,,1,1,1,,1,,1,1,,,,,1,,1,,,,1,1,,,,1,,,1,,,1,,,,,,1,,,,,
SS13,,,1,1,1,,,,,1,1,,,,,,1,,,,,1,1,1,,,,,1,,1,,,,,1,,1,1,,,,,1,1,,1,1,1,,,,,,1,,1,,,,,1,,1,1,,,1,,,1,1,,1,,,,,,1,,,
SS14,,,,,1,,,,,,1,,,,,,1,,1,,,,1,,,,,,,,,,1,,,,,,1,,,,,1,,,1,,1,,,,,,,,1,,,,,1,,,1,,,,,,,1,,,,,,,,1,,,
SS15,,,,,,,,,,,1,,,,,,1,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,1,,,
SS16,,,,,1,,,,,,1,,,,,,1,,1,,,1,1,,,,,1,,,,,,,,,,1,1,,,,,1,,,1,,1,,1,1,,,1,,1,,1,,,,,,,,,1,,,,1,,1,1,,,,,1,,,
SS17,,,,,,,,,,,1,,,,,,,,1,,,,,1,,,1,,,,,,,,,,1,1,1,,,,,1,1,,1,,,1,1,,,,,,,1,,,,,,,,,,1,,,,,,1,,,,,,,,1,
SS18,,1,1,,,,,,,,1,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,1,,,,,1,1,,1,,,,1,,,,1,,,,1,,1,,,,,,,,1,,,1,,,,,1,,1,1,1,1,
SS19,,,,,,,,,,,1,,,,1,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,1,,,,1,,,,,,,,,,,,1,,1,,,,,,,1,,,1,1,,,1
SS20,,,,,,,1,,,,1,,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,,,,,,1,,,,,,,1,1,,1,,,1,,,,,,,1,1,,,1
