Tray #,Sample,Species,ID Date,ID Person,Comments,Photo,,,
110,14-D-5,Chenopodium leptophyllum,07/18/2025,Viktoria,Seedling removed,YES,,,
108,14-D-S,Chenopodium leptophyllum,07/18/2025,Viktoria,Seedling removed,NO,,,
92,12-B-S,Chenopodium leptophyllum,07/18/2025,Viktoria,Seedling removed,NO,,,
161,C1,Thlaspi arvense,07/18/2025,Viktoria,Seedling removed,YES,,,
93,12-B-0,Chenopodium leptophyllum,07/18/2025,Viktoria,Seedling removed,NO,,,
36,5-D-S,Chenopodium leptophyllum,07/18/2025,Viktoria,Seedling removed,NO,,,
132,17-D-S,Bassia scoparia,07/18/2025,Viktoria,Seedling removed,YES,,,
37,5-D-0,Artemisia frigida,07/18/2025,Viktoria,Seedling removed,YES,,,
37,5-D-0,Artemisia frigida,07/18/2025,Viktoria,Seedling removed,NO,,,
37,5-D-0,Artemisia frigida,07/18/2025,Viktoria,Seedling removed,NO,,,
37,5-D-0,Artemisia frigida,07/18/2025,Viktoria,Seedling removed,NO,,,
44,6-D-S,Artemisia frigida,07/18/2025,Viktoria,Seedling removed,NO,,,
47,6-C-0,Artemisia frigida,07/18/2025,Viktoria,Seedling removed,NO,,,
47,6-C-0,Artemisia frigida,07/18/2025,Viktoria,Seedling removed,NO,,,
109,14-D-0,Artemisia frigida,07/18/2025,Viktoria,Seedling removed,NO,,,
109,14-D-0,Artemisia frigida,07/18/2025,Viktoria,Seedling removed,NO,,,
109,14-D-0,Artemisia frigida,07/18/2025,Viktoria,Seedling removed,NO,,,
109,14-D-0,Artemisia frigida,07/18/2025,Viktoria,Seedling removed,NO,,,
109,14-D-0,Artemisia frigida,07/18/2025,Viktoria,Seedling removed,NO,,,
132,17-D-S,Artemisia frigida,07/18/2025,Viktoria,Seedling removed,NO,,,
50,7-B-0,Artemisia frigida,07/18/2025,Viktoria,Seedling removed,NO,,,
5,1-D-0,Artemisia frigida,07/18/2025,Viktoria,Seedling removed,NO,,,
5,1-D-0,Artemisia frigida,07/18/2025,Viktoria,Seedling removed,NO,,,
6,1-D-5,Fallopia convolvulus,07/18/2025,Viktoria,Seedling removed,NO,,,
66,9-B-0,Artemisia frigida,07/30/2025,Viktoria,Seedling removed,NO,,,
66,9-B-0,Artemisia frigida,07/30/2025,Viktoria,Seedling removed,NO,,,
82,11-B-0,Artemisia frigida,07/30/2025,Viktoria,Seedling removed,NO,,,
121,16-B-S,Artemisia frigida,07/30/2025,Viktoria,Seedling removed,NO,,,
100,13-D-S,Chenopodium leptophyllum,07/30/2025,Viktoria,Seedling removed,NO,,,
103,13-C-0,Artemisia frigida,07/30/2025,Viktoria,Seedling removed,NO,,,
11,2-B-5,Artemisia frigida,07/30/2025,Viktoria,Seedling removed,NO,,,
71,9-C-0,Artemisia frigida,07/30/2025,Viktoria,Seedling removed,NO,,,
116,15-D-S,Suaeda calceoliformis,07/30/2025,Viktoria,Seedling removed,YES,,,
38,5-D-5,Artemisia frigida,07/30/2025,Viktoria,Seedling removed,NO,,,
125,16-D-0,Artemisia frigida,07/30/2025,Viktoria,Seedling removed,NO,,,
145,19-B-S,Artemisia frigida,07/30/2025,Viktoria,Seedling removed,NO,,,
124,16-D-S,Artemisia frigida,07/30/2025,Viktoria,Seedling removed,NO,,,
101,13-D-0,Artemisia frigida,07/30/2025,Viktoria,Seedling removed,NO,,,
65,9-B-S,Artemisia frigida,07/30/2025,Viktoria,Seedling removed,NO,,,
4,1-D-S,Chenopodium leptophyllum,07/30/2025,Viktoria,Seedling removed,NO,,,
89,12-B-S,Artemisia frigida,07/30/2025,Viktoria,Seedling removed,NO,,,
87,11-C-0,Artemisia frigida,07/30/2025,Viktoria,Seedling removed,NO,,,
140,18-D-S,Sporobolus cryptandrus,08/19/2025,Viktoria,,YES,,,
98,13-B-0,Sporobolus cryptandrus,08/19/2025,Viktoria,,NO,,,
54,7-D-5,Gnaphalium uliginosum,08/19/2025,Viktoria,,NO,,,
25,4-B-S,Koeleria macrantha,08/19/2025,Viktoria,,NO,,,
25,4-B-S,Koeleria macrantha,08/19/2025,Viktoria,,NO,,,
25,4-B-S,Koeleria macrantha,08/19/2025,Viktoria,,NO,,,
61,8-D-0,Poa compressa,08/19/2025,Viktoria,culms compressed. knob with dark ring,YES,,,
148,19-D-S,Bassia scoparia,08/19/2025,Viktoria,,NO,,,
148,19-D-S,Bassia scoparia,08/19/2025,Viktoria,,NO,,,
60,8-D-S,Plantago major,08/19/2025,Viktoria,,NO,,,
113,15-B-S,Hesperostipa comata,08/19/2025,Viktoria,,NO,,,
117,15-D-0,Sporobolus cryptandrus,08/19/2025,Viktoria,,NO,,,
117,15-D-0,Sporobolus cryptandrus,08/19/2025,Viktoria,,NO,,,
156,20-D-S,Sporobolus cryptandrus,08/19/2025,Viktoria,,NO,,,
124,16-D-S,Sporobolus cryptandrus,08/19/2025,Viktoria,,NO,,,
118,15-D-5,Sporobolus cryptandrus,08/19/2025,Viktoria,,NO,,,
93,12-D-0,Sporobolus cryptandrus,08/19/2025,Viktoria,,NO,,,
133,17-D-0,Sporobolus cryptandrus,08/19/2025,Viktoria,,NO,,,
9,2-B-S,Poa compressa,08/19/2025,Viktoria,,NO,,,
39,5-C-0,Koeleria macrantha,08/19/2025,Kaikai,,NO,,,
97,13-B-S,Koeleria macrantha,08/19/2025,Kaikai,,NO,,,
101,13-D-0,Sporobolus cryptandrus,08/19/2025,Kaikai,,NO,,,
6,1-D-5,Artemisia frigida,08/19/2025,Viktoria,,NO,,,
132,17-D-S,Suaeda calceoliformis,08/19/2025,Viktoria,,NO,,,
157,20-D-0,Bassia scoparia,08/19/2025,Viktoria,,NO,,,
64,8-C-5,Fallopia convolvulus,08/19/2025,Viktoria,,NO,,,
89,12-B-S,Artemisia frigida,08/19/2025,Kaikai,,NO,,,
90,12-B-0,Koeleria macrantha,08/19/2025,Viktoria,,NO,,,
90,12-B-0,Koeleria macrantha,08/19/2025,Viktoria,,NO,,,
41,6-B-S,Artemisia frigida,08/19/2025,Kaikai,,NO,,,
25,4-B-S,Artemisia frigida,08/19/2025,Kaikai,,NO,,,
89,12-B-S,Koeleria macrantha,08/19/2025,Kaikai,,NO,,,
89,12-B-S,Koeleria macrantha,08/19/2025,Kaikai,,NO,,,
89,12-B-S,Koeleria macrantha,08/19/2025,Kaikai,,NO,,,
89,12-B-S,Koeleria macrantha,08/19/2025,Kaikai,,NO,,,
