Species,Origin ,Habit
Agrostis scabra,Native,Graminoid
Androsace occidentalis,Native,Forb
Androsace septentrionalis,Native,Forb
Artemisia frigida,Native,Forb
Bassia scoparia,Exotic,Forb
Calamagrostis canadensis,Native,Graminoid
Carex duriuscula,Native,Graminoid
Carex inops subsp. heliophila,Native,Graminoid
Carex praegracilis,Native,Graminoid
Carex spp.,Native,Graminoid
Chamaerhodos erecta,Native,Forb
Chenopodium leptophyllum,Native,Forb
Crepis tectorum,Exotic,Graminoid
Drymocallis arguta,Native,Forb
Erysimum inconspicuum,Native,Forb
Fallopia convolvulus,Exotic,Forb
Festuca saximontana,Native,Graminoid
Gnaphalium uliginosum,Exotic,Forb
Hesperostipa comata,Native,Graminoid
Juncus balticus,Native,Graminoid
Juncus bufonius,Exotic,Graminoid
Koeleria macrantha,Native,Graminoid
Lepidium densifolium,Native,Forb
Oenothera biennis/villosa,Native,Forb
Plantago major,Exotic,Forb
Poa compressa,Exotic,Graminoid
Poa palustris,Exotic,Graminoid
Poa pratensis,Exotic,Graminoid
Potentilla norvegica,Native,Forb
Potentilla pensylvanica,Native,Forb
Potentilla rivalis,Native,Forb
Silene latifolia,Exotic,Forb
Sonchus asper,Exotic,Forb
Sporobolus cryptandrus,Native,Graminoid
Suaeda calceoliformis,Native,Forb
Thlaspi arvense,Exotic,Forb
Trifolium hybridum,Exotic,Forb
Typha latifolia,Native,Forb
Veronica peregrina,Native,Forb
