unique_id,Species,final_mass,final_length
30,Agrostis scabra,0.051833333,1.15
18,Androsace occidentalis,0.27,n/a
15,Androsace septentrionalis,0.175822222,1.1125
4,Artemisia frigida,0.078224,n/a
3,Bassia scoparia,0.36,1.756666667
39,Calamagrostis canadensis,0.32,1
13,Carex duriuscula,n/a,1.75
19,Carex inops subsp. heliophila,2.48,2.05
17,Carex praegracilis,0.53248,1.75
22,Carex spp.,n/a,1.844774639
32,Chamaerhodos erecta,0.18,n/a
1,Chenopodium leptophyllum,0.4796,n/a
23,Crepis tectorum,0.2688,3.05
29,Drymocallis arguta,0.16,n/a
38,Erysimum inconspicuum,0.0016,n/a
5,Fallopia convolvulus,5.9125,3.63625
34,Festuca saximontana,0.667,n/a
8,Gnaphalium uliginosum,0.021263158,0.55
12,Hesperostipa comata,6.52,3
20,Juncus balticus,0.056424615,0.9
36,Juncus bufonius,0.02,0.45
9,Koeleria macrantha,0.426332222,2.855555556
27,Lepidium densifolium,0.79,n/a
37,Oenothera biennis/villosa,0.42,1
11,Plantago major,0.194217436,1.393125
10,Poa compressa,0.209476923,2.525
21,Poa palustris,0.184111111,n/a
14,Poa pratensis,0.284671429,1.707142857
25,Potentilla norvegica,0.110714286,1.05
33,Potentilla pensylvanica,0.1528,1.2
24,Potentilla rivalis,0.04,n/a
28,Silene latifolia,0.81,1
31,Sonchus asper,0.28,
7,Sporobolus cryptandrus,0.119066667,0.975
6,Suaeda calceoliformis,0.3208,1.25
2,Thlaspi arvense,1.02,n/a
26,Trifolium hybridum,0.74,n/a
16,Typha latifolia,0.139455126,3.131
35,Veronica peregrina,0.032090909,0.733333333
